slug,title,origin,kind,narrator,pov,shelf,tone,in_app,app_doc_id,on_youtube,video_slug,visualizer,video_bed,notes
"night-train-home","last train home","app-batch","one-shot","","m4f","bedtime","sfw","✓","2XZmHgJKyZRn1rlBR45f","—","","","",""
"rain-on-the-skylight","rain on the skylight","app-batch","one-shot","","f4f","bedtime","sfw","✓","dmmdyJFcRUygotQfNMo6","—","","","",""
"orc-by-the-hearth","by the hearth","app-batch","one-shot","","m4f","romantasy","sfw","✓","oXPHHGZX74xQeCVmdNAt","—","","","",""
"snowed-in-chalet","snowed in","app-batch","one-shot","","m4f","bedtime","sfw","✓","NFHkJOVgrVs5n5cJK2M9","—","","","",""
"rivals-one-bed","one bed","app-batch","one-shot","","m4f","dark romance","nsfw","✓","tEeuQn1IKrwOuFM2o9ZB","—","","","",""
"the-bodyguard","close protection","app-batch","one-shot","","m4f","dark romance","nsfw","✓","qqIL324iMnX0YZNGs1gZ","audio only","the-bodyguard","planned","","YouTube cut is a separate YouTube-safe render (audio done, dusk voice); app version is explicit; judge fixes pending review"
"crimson-hours","crimson hours","app-batch","one-shot","","m4f","dark romance","nsfw","✓","98EQssVqOGTc7bzYZ0ys","—","","","",""
"wolf-and-mate","the solstice fire","app-batch","one-shot","","m4f","romantasy","nsfw","✓","AVzufvFx7Jwu9IzRBBYX","—","","","",""
"the-obsession","devoted","app-batch","one-shot","","m4f","dark romance","nsfw","✓","sqVrh7gmLddtd3Gy32wP","—","","","",""
"ember-knight","sworn to him","app-batch","one-shot","","m4m","romantasy","nsfw","✓","AxrcqsLtDscYti7rTBQg","—","","","",""
"midnight-encore","midnight encore","app-batch","one-shot","","m4f","after dark","nsfw","✓","BYfLfog9U0f5LKongIAa","—","","","",""
"adam-the-atelier","the atelier","app-batch","narrator","adam","m4f","bedtime","sfw","✓","cYZoigJmbYu1mwClnAhC","—","","","",""
"adam-still-life","still life","app-batch","narrator","adam","m4f","after dark","nsfw","✓","OskrAt1MdhFzXsdo7E6x","—","","","",""
"adam-after-the-opening","after the opening","app-batch","narrator","adam","m4f","after dark","nsfw","✓","bGMAS38KzaU6RyAaH2ki","—","","","",""
"goldilocks","goldilocks","app-legacy","narrator","lucy","f4f","bedtime","sfw","✓","1Sh8QGnwZgnIsH3PDBYi","—","","","","shelf consolidated from legacy ""bedtime stories"" (consolidate-shelves.mjs); narrator lucy has no publicNarrators doc"
"beauty-and-the-beast","the beauty and the beast","app-legacy","one-shot","","m4f","bedtime","sfw","✓","KxhqlJfGXU1CsGhWxC4l","—","","","","shelf consolidated from legacy ""bedtime stories"" (consolidate-shelves.mjs); title stored with curly quotes"
"belts-and-ties","belts & ties","app-legacy","narrator","roman","m4f","","nsfw","—","","—","","","","REMOVED from library 2026-08-03 (user request, remove-stories.mjs); storage audio kept"
"home-after-a-long-day","home after a long day","app-legacy","narrator","julia","f4m","","sfw","—","","—","","","","REMOVED from library 2026-08-03 (user request, remove-stories.mjs); storage audio kept"
"after-dinner","after dinner","app-legacy","narrator","adam","m4f","","nsfw","—","","—","","","","REMOVED from library 2026-08-03 (user request, remove-stories.mjs); storage audio kept; legacy adam pre-dates the adam narrator doc"
"not-jealous","not jealous","yt-pipeline","one-shot","","m4f","after dark","sfw","✓","gouRq31DKGKjxv4Kg8XC","rendered (not released)","not-jealous","done:lava","street","shared yt boyfriend continuity voice; app audio = v2 (dusk voice), dry — night-street bed baked into the VIDEO only (parked-car scene); dry video backup in ambient-previews/"
"not-going-anywhere","not going anywhere","yt-pipeline","one-shot","","m4f","dark romance","sfw","✓","WdAWcEwcaO8HFj92CtcF","rendered (not released)","not-going-anywhere","planned","","soft-yandere SFW; re-voiced to dusk 2026-07-28 — video stale, re-render per VIDEO_SPECS"
"cant-sleep","can't sleep","yt-pipeline","one-shot","","m4f","bedtime","sfw","✓","Vigwdm7RrcVmqfZjiVdE","rendered (not released)","cant-sleep","planned","rain","black-screen sleep lane; re-voiced to dusk 2026-07-28 — video stale, re-render per VIDEO_SPECS"
"waited-up","waited up","yt-pipeline","one-shot","","f4m","bedtime","sfw","✓","9DIlYWVIytCKI2cvT8Mc","rendered (not released)","waited-up","done:radial","","gf comfort lane; veil v2 delivery ([whispers][softly] + 0.88) 2026-07-31 — app copy swapped to v2 in place; radial breathing-circle video fresh"
